,0
272,ribuan warga pekanbaru riau hadir silahturahmi kebangsaan indonesia sejahtera mas harapan masyarakat indonesia biar mas anies keliling indonesia keliling indonesia berat butuh pemimpin kuat sehat cerdas pinter
273,sehat anies hadir kehujanan mantap mantap
274,sabar cobaan
275,masyaallah barakallah tia suka pakai hijab cantik
276,mantap jet
277,emang keren 👇
278,hujan membawa keberkahan semangat 💪💪💪💪
279,program ditawarkan programmya pokoke gua jd presiden
280,terima kasih menolak permintaan sumbangsih lakukan
281,gk heran gw drun
282,merasakan indahnya jakarta eropah liburan musim panas bln augustus kemarin thanks semoga indonesia jakarta inshaa allah president ri rabbal aalamin
283,maa syaa allah barokallah pam anies semangat doa suport mu indonesia bagkit lg 💪💪🤗
284,menang start menang finish
285,hujan rintangan warga sumbar menyambut sang pemimpin bangsa allahuakbar
286,aniesnya madura
287,alhamdulillah 🤲🤲
288,mantaf yo uda 👍
289,aamiin
290,sambutan warga padang wow
291,terpesona terpesona dg santun smart dpt plakat sehari kaya minum obatdan kubu caci hujat bela pujaan bandarnya warga sumbar hrs cerdasstop buih
292,iya banjir hebat wkwk
293,bagus silaturahim wilayahwilayah suka utamanya wilayah indonesia timur
294,eaaaa 😁
295,barokallah anies😂😂😂👍
296,mantap maju pantang mundur rintangan keberhasilan raih kesungguha👍🏻
297,alhamdulillah sehat anis
298,jaga kesehatan
299,offsite
300,idollaaaaa
301,masya allah
302,selamat kota bertuah ukthi 😁🙏
303,gbk jakarta sukses selalu👏👏👏
304,up
305,ngibulmantapp
306,allahu akbar
307,sehat mas bro sapa rakyat indonesia terkecuali
308,tuh shooting 🤣🤭
309,mantap lanjutkan🔥🔥
310,untung warnawarninya post anies baswedan 😇
311,komitmen ini😁
312,allah swt sayang oligardan
313,mayoritas isi lakilaki padang menikmati kopi drumah temanin hujan minggu hahah
314,calon presiden partaiwkkkkk
315,new hope
316,blm anye dah nyolong star masjidsara smakin menguatkan pendirian memilih
317,hadiahnya lumayan
