ID;Datetime;Likes;Content
1590650366374604801;2022-11-10 10:19:34+00:00;360;Hari ini 40 hari pasca tragedi Kanjuruhan. Mari berdoa utk 135 saudara kita yg berpulang. Jg trs kawal investigasi ini hingga tuntas, termasuk semua yg bertanggung jawab. @PDemokrat menyerukan agar hukum ditegakkan scr adil, agar kejadian spt ini tdk terjadi lagi di masa depan. https://t.co/fQMIA6HZEN
1590316357929013248;2022-11-09 12:12:21+00:00;233;Usai menyampaikan gagasan di Policy Dialogue Club de Madrid saya juga menulis ttg Optimisme Mengatasi Mega Krisis Global di @hariankompas (8/11). Silahkan simak artikelnya di https://t.co/sBlLljAvlg. Selamat membaca, teman2, semoga gagasan ini bisa berkontribusi utk kita semua
1590316071747465216;2022-11-09 12:11:12+00:00;196;Selamat atas penghargaannya Ibu Melani, saya bersama keluarga besar @PDemokrat turut bangga. Semoga prestasi ini bisa menjadi inspirasi utk anggota Demokrat lainnya terutama para Srikandi. Sukses selalu bu https://t.co/lMWLpYptIr
1590209749710434309;2022-11-09 05:08:43+00:00;288;"Mendapat kabar dari tanah air, kasus Covid meningkat lagi.
Semoga yg sakit diberi kesembuhan. Mari kita kembali tingkatkan kewaspadaan, jaga kesehatan, &amp; gunakan masker. Pandemi blm selesai. Mari kita sama2 menjaga agar kasus covid bisa terus terkendali. 

https://t.co/cFJPGM0Y4P"
1589837626294808576;2022-11-08 04:30:02+00:00;84;"Terima kasih ya buat pertemuannya, walaupun singkat namun banyak sekali harapan dan cita2 yg bagus utk perbaikan &amp; perubahan bangsa ke depan. Harus kuat menimba ilmunya meskipun di negeri orang. Pesan saya pokok'e wani and tetap semangat!"
1589837623027458051;2022-11-08 04:30:01+00:00;79;"Kami banyak bertukar cerita dan inspirasi di Meramanis, coffee shop yg dimiliki &amp; dikelola langsung oleh beberapa anak muda Indonesia. Menu andalannya adl Kopi Mbah Bejo karena mendatangkan kopi yang berasal dari perkebunan Mbah Bejo di daerah Jawa Tengah."
1589837619638435840;2022-11-08 04:30:00+00:00;54;"Teman2 yg hadir ini jurusan &amp; kampusnya beragam, ada juga yang baru saja menyelesaikan program doktornya, dan beberapa jg menimba ilmu di tempat Presiden B.J. Habibie kuliah (Aachen)."
1589837617218322432;2022-11-08 04:30:00+00:00;673;Selama di Jerman saya mengunjungi beberapa kota, termasuk Kota Koln yg merupakan kota pelabuhan penting di Jerman. Jauh2 ke Kota Koln, ternyata ketemu sama arek - arek Jawa Timur 😁. Ada yg dari Sidoarjo, Malang, Surabaya, bahkan ada jg yg dari Jakarta. https://t.co/lxptq1WuKZ
1589543812527181826;2022-11-07 09:02:31+00:00;56;Senang sekali rasanya berjumpa dan bersilaturahmi. Sambil ngobrol santai kami menikmati suasana Kota Berlin yang khas, membahas banyak hal dari topik yang santai sampai ke yang serius. Mesikpun singkat sekali tapi semoga pertemuan ini penuh makna.
1589543810513924096;2022-11-07 09:02:31+00:00;482;"Di sela-sela waktu senggang menghadiri kegiatan Annual Policy Dialogue, saya melakukan kopi darat (kopdar) dgn teman2 warga Indonesia yang tinggal di Berlin. Mereka berasal dari berbagai daerah &amp; latar belakang. https://t.co/sXnsxjav7z"
