ID;Datetime;Likes;Content
1588706067365916672;2022-11-05 01:33:37+00:00;73;@AgoezMust @SudahToh Jangan berseteru hingga ngetwit yang tidak baik. Jadilah pribadi yang menyebarkan kebaikan. Kita nikmati akhir pekan dengan melakukan hal baik.
1588705370541019137;2022-11-05 01:30:51+00:00;23;@kurli_anis Jalani dengan yakin, dengan semangat. Mergo ono, Mergo ono.
1588703091989557249;2022-11-05 01:21:48+00:00;14;@kapten_imel Semua menjalankan tugasnya sesuai tupoksi. Ada kekurangan, ada kendala pasti. Tapi tindakan untuk mengatasi kekurangan dan kendala terus dilakukan dengan giat tanpa mengurangi semangat pengabdian di lapangan.
1588701326208552960;2022-11-05 01:14:47+00:00;22;@zomet13 Maksudnya?
1588700524232441862;2022-11-05 01:11:36+00:00;66;@_______sandy Sabar ya. Sekarang masih 2022.
1588699820247887874;2022-11-05 01:08:48+00:00;27;@hanggiawan_ Sabtu pagi boleh lah rehat sebentar tuk ngetwit.
1588698146083078146;2022-11-05 01:02:09+00:00;47;@eri_riviana Sabar. Setiap orang memang punya masalah masing-masing. Tapi bukan berarti bersikap tidak baik kepada orang lain. Mergo ono, pasti ada jalan.
1588697501808615424;2022-11-05 00:59:35+00:00;2;@eko_ks Alhamdulillah. Selamat berakhir pekan.
1588697413740802048;2022-11-05 00:59:14+00:00;27;@rikardoriki102 Wajib. Kopi susu.
1588697171486183425;2022-11-05 00:58:16+00:00;15;@elleanor12 Selamat berakhir pekan. Salam untuk keluarga.
1588693923224248321;2022-11-05 00:45:22+00:00;1802;Selamat pagi sahabat, apa kabar? Semoga dalam keadaan baik.
1586895414749368320;2022-10-31 01:38:44+00:00;7;@AngKarakNarako Dalam setiap pertandingan hanya akan ada satu pemenang. Tapi bukan tentang siapa yang menang tapi tentang pihak-pihak yang yang bertanding dapat menciptakan kedamaian, menjaga persatuan.
1586894249542307840;2022-10-31 01:34:06+00:00;17;@11Riyanto Jangan menyerah. Kalau terjatuh 100 bangkit 1000 kali. Ingat, kita bangsa pejuang.
1586891246215176193;2022-10-31 01:22:10+00:00;586;"Mentari muncul di pagi hari.
Bersinar terang sepanjang hari.
Selamat pagi saudara saudari.
Semoga berkah tertuju kepada kita hari ini.

Selamat pagi! selamat beraktivitas membangun Indonesia Raya!"
1585462773512667140;2022-10-27 02:45:56+00:00;229;Tumben belum ada sapaan pagi? Khawatir ada masalah
1585459070130978817;2022-10-27 02:31:13+00:00;36;@Anyer_Fury @Gerindra Kenapa hal ini menjadi alasan untuk memilih saya?
1585458307585609730;2022-10-27 02:28:11+00:00;571;"Selamat pagi min @gerindra 
Semoga dalam keadaan baik."
1585457819809067009;2022-10-27 02:26:15+00:00;7;@sitisorayani Wajib banget
1585457095943413760;2022-10-27 02:23:22+00:00;26;@NoerKHSyarifah1 Serem cabenya 19 biji.
1585456516244520960;2022-10-27 02:21:04+00:00;12;@BangAhm72490980 Bisa aja 🙂
1585455103766429696;2022-10-27 02:15:27+00:00;21;@elleanor12 Alhamdulillah masih bisa makan apa aja. Pemuda stok lama terbatas menu makannya.
1585448346738565122;2022-10-27 01:48:36+00:00;20;@Aevitri1 Semoga kita semua selalu dalam keadaan sehat dan diberi kemudahan dalam setiap usaha.
