id,dateTime,likes,content,clean_text,clean_text_stem
1580469781919985666,2022-10-13 08:05:34+00:00,3162,"Taman Makam Tokoh Bangsa, ruang kontemplasi memori kolektif bangsa dan tempat merawat ingatan kisah perjuangan para Tokoh Bangsa yg terbaring di dalamnya. 

Walau usia hidup mereka telah terhenti, izinkan taman makam ini menjadikan usia teladan dan inspirasi mereka melaju abadi. https://t.co/Q1PxvzR7wa",taman makam tokoh bangsa ruang kontemplasi memori kolektif bangsa merawat ingatan kisah perjuangan tokoh bangsa terbaring dalamnya usia hidup terhenti izinkan taman makam menjadikan usia teladan inspirasi melaju abadi,taman makam tokoh bangsa ruang kontemplasi memori kolektif bangsa rawat ingat kisah juang tokoh bangsa baring dalam usia hidup henti izin taman makam jadi usia teladan inspirasi laju abadi
1580430724900847616,2022-10-13 05:30:22+00:00,2730,"Alhamdulillah, proses yang panjang itu akan menemui akhirnya, Revitalisasi Stadion Tugu dimulai.

Revitalisasi stadion ini untuk menjadikan kawasan ini bertaraf internasional, serta bisa digunakan oleh semua lapisan warga Jakarta.

#JakartaKotaGlobal
#RevitalisasiStadionTugu https://t.co/zUOW1Nyytd",alhamdulillah proses menemui revitalisasi stadion tugu revitalisasi stadion menjadikan kawasan bertaraf internasional lapisan warga jakarta,alhamdulillah proses temu revitalisasi stadion tugu revitalisasi stadion jadi kawasan taraf internasional lapis warga jakarta
1580393840862560257,2022-10-13 03:03:48+00:00,3100,"Alhamdulillah, Kampung Susun Bayam tuntas dan kita resmikan kemarin.

Hadirnya Jakarta International Stadium (JIS) ikut membawa mereka yang tinggal di sekitarnya untuk tumbuh berkembang. 

#JakartaKotaGlobal
#KampungSusunBayam
#JakartaInternationalStadium https://t.co/k2D17FO5vL",alhamdulillah ung susun bayam tuntas resmikan kemarin hadirnya jakarta international stadium jis membawa tinggal tumbuh berkembang,alhamdulillah ung susun bayam tuntas resmi kemarin hadir jakarta international stadium jis bawa tinggal tumbuh kembang
1580353348292685824,2022-10-13 00:22:54+00:00,4784,"Selamat pagi dari Kampung Susun Bayam!

Ketika Jakarta International Stadium ditegakkan, alih-alih disingkirkan, Kampung Susun Bayam justru diintegrasikan. Bersama menjadi ikon Kota Global, tempat kemajuan bersanding dengan keadilan.

#JakartaKotaGlobal
#KampungSusunBayam https://t.co/23ctnFXGwc",selamat pagi ung susun bayam jakarta international stadium ditegakkan alihalih disingkirkan ung susun bayam diintegrasikan ikon kota global kemajuan bersanding keadilan,selamat pagi ung susun bayam jakarta international stadium tegak alihalih singkir ung susun bayam integrasi ikon kota global maju sanding adil
1580166957973704704,2022-10-12 12:02:15+00:00,4693,"Alhamdulillah, hari ini menerima Penjabat Gubernur DKI Jakarta terpilih, Bapak Heru Budi Hartono yang kami undang makan siang dan bincang-bincang di Balaikota DKI Jakarta.

Insya Allah akan sukses menjalankan tugasnya, kami siap membantu selama dan sesudah transisi. https://t.co/fzpS9cPwFq",alhamdulillah menerima penjabat gubernur dki jakarta terpilih heru budi hartono undang makan siang bincangbincang balaikota dki jakarta insya allah sukses menjalankan tugasnya membantu transisi,alhamdulillah terima jabat gubernur dki jakarta pilih heru budi hartono undang makan siang bincangbincang balaikota dki jakarta insya allah sukses jalan tugas bantu transisi
1580123162989121536,2022-10-12 09:08:13+00:00,3750,"Alhamdulillah, dengan adanya Jalur Sepeda dan Pedestrian kini kawasan Simpang Semanggi dapat diakses oleh semua, tidak hanya pengguna kendaraan bermotor saja.

Semoga Simpang Semanggi menjadi ruang aktif yang dapat dialami dan meninggalkan kesan bagi semua.

#JakartaKotaGlobal https://t.co/dydGn3qlii",alhamdulillah jalur sepeda pedestrian kawasan simpang semanggi diakses pengguna kendaraan bermotor semoga simpang semanggi ruang aktif dialami meninggalkan kesan,alhamdulillah jalur sepeda pedestrian kawasan simpang semanggi akses guna kendara motor moga simpang semanggi ruang aktif alami tinggal kesan
1580076687806455808,2022-10-12 06:03:33+00:00,9114,"Janji itu tidak ditepati, tapi dilampaui.

Lima tahun lalu Dinas Pertamanan dan Hutan Kota Prov. DKI Jakarta merencanakan 86 Taman Maju Bersama. Hari ini, 100 TMB telah tersebar di seluruh Jakarta. Alhamdulillah.

#JakartaKotaGlobal
#TamanMajuBersama https://t.co/QLtQMNEfYr",janji ditepati dil aui tahun dinas pertamanan hutan kota prov dki jakarta merencanakan taman maju tmb tersebar jakarta alhamdulillah,janji tepat dil aui tahun dinas taman hutan kota prov dki jakarta rencana taman maju tmb sebar jakarta alhamdulillah
1580015477882990592,2022-10-12 02:00:19+00:00,2623,"Meninjau penuntasan jembatan layang penyeberangan orang (skywalk) Kebayoran Lama dan Simpang Temu Lebak Bulus. Pembangunan ini untuk mempermudah warga mengakses transportasi umum dan fasilitas di sekitarnya, khususnya di kawasan berorientasi transit (TOD).

#JakartaKotaGlobal https://t.co/Tup5v7fXzH",meninjau penuntasan jembatan layang penyeberangan skywalk kebayoran simpang temu lebak bulus pembangunan mempermudah warga mengakses transportasi umum fasilitas kawasan berorientasi transit tod,tinjau tuntas jembatan layang seberang skywalk kebayoran simpang temu lebak bulus bangun mudah warga akses transportasi umum fasilitas kawasan orientasi transit tod
1579819676078866432,2022-10-11 13:02:17+00:00,3116,"Turut membuka Gapura Little India di Pasar Baru.

Pasar Baru telah lama menjadi representasi dari beragam subkultur yang ada di Jakarta. Teman-teman yang ingin mendapatkan pengalaman nuansa India bisa datang ke sini, dan merasakan betapa kayanya kota kita.

#JakartaKotaGlobal https://t.co/T45LAak1pB",membuka gapura little india pasar pasar representasi beragam subkultur jakarta temanteman pengalaman nuansa india merasakan betapa kayanya kota,buka gapura little india pasar pasar representasi agam subkultur jakarta temanteman alam nuansa india rasa betapa kaya kota
1579758784188407809,2022-10-11 09:00:19+00:00,3717,"Energi Baru Terbarukan dari Jakarta!

Alhamdulillah, kita membuka Praresmi Fasilitas Pengolahan Sampah Landfill Mining dan RDF Plant di TPST Bantargebang.

#JakartaKotaGlobal
#LandfillMining #RDFPlant #Bantargebang
#JakartaSadarSampah https://t.co/kCBxfGJmCy",energi terbarukan jakarta alhamdulillah membuka praresmi fasilitas pengolahan ah landfill mining rdf plant tpst bantargebang,energi baru jakarta alhamdulillah buka praresmi fasilitas olah ah landfill mining rdf plant tpst bantargebang
