ID;Datetime;Username;Content;clean_text;text_token
1596142327466459138;2022-11-25 14:02:40+00:00;dndtirani;"Video di Ruang Ganti Ungkap Rahasia Arab Saudi Bisa Membalik Skor Atas Argentina |
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #AnwarIbrahim #AniesPresiden2024 https://t.co/RtOOqUHQR7";video ruang ganti rahasia arab saudi skor argentina jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['video', 'ruang', 'ganti', 'rahasia', 'arab', 'saudi', 'skor', 'argentina', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596142135388311552;2022-11-25 14:01:54+00:00;dndtirani;"Namanya Terseret Kasus Ismail Bolong, Kabareskrim: Kenapa Dilepas Ferdy Sambo Cs Kalau itu Benar | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia  #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat  #AniesPresiden2024 https://t.co/Ml5XRWIfLf";nama seret ismail bolong kabareskrim lepas ferdy sambo cs jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia;['nama', 'seret', 'ismail', 'bolong', 'kabareskrim', 'lepas', 'ferdy', 'sambo', 'cs', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia']
1596142057076449280;2022-11-25 14:01:35+00:00;dndtirani;"Semakin Moncer, Anies Kembali Dihambat Soal Pilpres 2024 Gunakan UUD 1945 | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia  #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BuzzeRp_SampahPeradaban #AniesPresiden2024 https://t.co/n78BCxxlHU";moncer anies hambat pilpres uud jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia;['moncer', 'anies', 'hambat', 'pilpres', 'uud', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia']
1596141817808162817;2022-11-25 14:00:38+00:00;dndtirani;"Minta Apindo Tak Ngeyel Kalau Gugatan di MA Ditolak, Said Iqbal: Sudah Pada Kaya, Masa Nggak Mau Lihat Buruh Sejahtera | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup  #AniesPresiden2024 https://t.co/bKOQoGMlcy";apindo ngeyel gugat ma tolak said iqbal kaya nggak buruh sejahtera jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['apindo', 'ngeyel', 'gugat', 'ma', 'tolak', 'said', 'iqbal', 'kaya', 'nggak', 'buruh', 'sejahtera', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596141671200460800;2022-11-25 14:00:03+00:00;dndtirani;"Ternyata Segini Tarif Endorse Alif Dilan Cepmek Usai Viral, UMR Jakarta Lewat! | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #reformasi #AniesPresiden2024 https://t.co/fNfPC7mBCI";gin tarif endorse alif dil cepmek viral umr jakarta jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['gin', 'tarif', 'endorse', 'alif', 'dil', 'cepmek', 'viral', 'umr', 'jakarta', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596141497111674882;2022-11-25 13:59:22+00:00;dndtirani;"PPATK Diam-diam Blokir Rekening Milik Brigadir Yosua, Ada Apa? | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BuzzeRp_SampahPeradaban #AniesPresiden2024 https://t.co/czKQ20kfRB";ppatk diamdiam blokir rekening milik brigadir yosua jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['ppatk', 'diamdiam', 'blokir', 'rekening', 'milik', 'brigadir', 'yosua', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596141402530140161;2022-11-25 13:58:59+00:00;dndtirani;"Gugatan Ijazah Dicabut, Masyarakat Anti Kepalsuan Kirim Surat Terbuka untuk Jokowi | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #reformasi #AniesPresiden2024 https://t.co/r7paabbkTE";gugat ijazah cabut masyarakat anti palsu kirim surat buka jokowi jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['gugat', 'ijazah', 'cabut', 'masyarakat', 'anti', 'palsu', 'kirim', 'surat', 'buka', 'jokowi', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596141269679738880;2022-11-25 13:58:28+00:00;dndtirani;"KIB Tabuh Genderang Perang dengan PDIP jika Usung Ganjar Pranowo Capres 2024 | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat #BlackFriday #AniesPresiden2024 https://t.co/FWgFmnS3aV";kib tabuh genderang perang pdip usung ganjar pranowo capres jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['kib', 'tabuh', 'genderang', 'perang', 'pdip', 'usung', 'ganjar', 'pranowo', 'capres', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596141127555772417;2022-11-25 13:57:54+00:00;dndtirani;"Parlemen Rusia Setujui RUU Anti-LGBTQ: Demi Lindungi Masa Depan Anak Bangsa dari Kegelapan | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat  #AniesPresiden2024 https://t.co/mrZQ1WACxk";parlemen rusia ruu antilgbtq lindung anak bangsa gelap jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['parlemen', 'rusia', 'ruu', 'antilgbtq', 'lindung', 'anak', 'bangsa', 'gelap', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
1596141012489220096;2022-11-25 13:57:26+00:00;dndtirani;"Viral! Kembali Relawan Bantuan Gempa Cianjur Diadang dan Dipalak Warga: Seikhlasnya Aja | 
Jokowi Pemain Cebong LGBT Cianjur Fajar Pray For Cianjur Gitasav Iran Jeddah Asia Jepang #GempaBumi #FIFAWorldCup #PenguasaPengkhianatRakyat  #AniesPresiden2024 https://t.co/11QyZkKB8Q";viral rawan bantu gempa cianjur adang palak warga ikhlas aja jokowi main cebong lgbt cianjur fajar pray for cianjur gitasav iran jeddah asia jepang;['viral', 'rawan', 'bantu', 'gempa', 'cianjur', 'adang', 'palak', 'warga', 'ikhlas', 'aja', 'jokowi', 'main', 'cebong', 'lgbt', 'cianjur', 'fajar', 'pray', 'for', 'cianjur', 'gitasav', 'iran', 'jeddah', 'asia', 'jepang']
